x,y,x-xbar,y-ybar,(x-xbar)*(y-ybar),,,,,,
6.1101,17.592,-2.0497,11.75286495,-24.08984728,,,,,mean_x ,8.1598
5.5277,9.1302,-2.6321,3.291064948,-8.662412051,,,,,mean_y ,5.839135052
8.5186,13.662,0.3588,7.822864948,2.806843944,,,,,,
7.0032,11.854,-1.1566,6.014864948,-6.956792799,,,,,sum(prod),1715.219529
5.8598,6.8233,-2.3,0.984164948,-2.263579381,,,,,n ,97
8.3829,11.886,0.2231,6.046864948,1.34905557,,,,,,
7.4764,4.3483,-0.6834,-1.490835052,1.018836674,,,,,covar,17.68267555
8.5781,12,0.4183,6.160864948,2.577089808,,,,,,
6.4862,6.5987,-1.6736,0.759564948,-1.271207898,,,,covar(excel)],17.68267555,
5.0546,3.8166,-3.1052,-2.022535052,6.280375842,,,,,,
5.7107,3.2522,-2.4491,-2.586935052,6.335662635,,,,std(x),3.849883996,
14.164,15.505,6.0042,9.665864948,58.03578632,,,,std(y),5.481785257,
5.734,3.1551,-2.4258,-2.684035052,6.510932228,,,,,,
8.4084,7.2258,0.2486,1.386664948,0.344724906,,,,,,
5.6407,0.71618,-2.5191,-5.122955052,12.90523607,,,,,correlation,0.837873233
5.3794,3.5129,-2.7804,-2.326235052,6.467863937,,,,,,
6.3654,5.3048,-1.7944,-0.534335052,0.958810816,,,,,,
5.1301,0.56077,-3.0297,-5.278365052,15.9918626,,,,,,
6.4296,3.6518,-1.7302,-2.187335052,3.784527106,,,,,,
7.0708,5.3893,-1.089,-0.449835052,0.489870371,,,,,,
6.1891,3.1386,-1.9707,-2.700535052,5.321944426,,,,,,
20.27,21.767,12.1102,15.92786495,192.8896301,,,,,,
5.4901,4.263,-2.6697,-1.576135052,4.207807747,,,,,,
6.3261,5.1875,-1.8337,-0.651635052,1.194903194,,,,,,
5.5649,3.0825,-2.5949,-2.756635052,7.153192295,,,,,,
18.945,22.638,10.7852,16.79886495,181.1791182,,,,,,
12.828,13.501,4.6682,7.661864948,35.76711795,,,,,,
10.957,7.0467,2.7972,1.207564948,3.377800674,,,,,,
13.176,14.692,5.0162,8.852864948,44.40774115,,,,,,
22.203,24.147,14.0432,18.30786495,257.101009,,,,,,
5.2524,-1.22,-2.9074,-7.059135052,20.52372925,,,,,,
6.5894,5.9966,-1.5704,0.157464948,-0.247282955,,,,,,
9.2482,12.134,1.0884,6.294864948,6.85133101,,,,,,
5.8918,1.8495,-2.268,-3.989635052,9.048492297,,,,,,
8.2111,6.5426,0.0513,0.703464948,0.036087752,,,,,,
7.9334,4.5623,-0.2264,-1.276835052,0.289075456,,,,,,
8.0959,4.1164,-0.0639,-1.722735052,0.11008277,,,,,,
5.6063,3.3928,-2.5535,-2.446335052,6.246716554,,,,,,
12.836,10.117,4.6762,4.277864948,20.00415207,,,,,,
6.3534,5.4974,-1.8064,-0.341735052,0.617310197,,,,,,
5.4069,0.55657,-2.7529,-5.282565052,14.54237333,,,,,,
6.8825,3.9115,-1.2773,-1.927635052,2.462168251,,,,,,
11.708,5.3854,3.5482,-0.453735052,-1.60994271,,,,,,
5.7737,2.4406,-2.3861,-3.398535052,8.109244486,,,,,,
7.8247,6.7318,-0.3351,0.892664948,-0.299132024,,,,,,
7.0931,1.0463,-1.0667,-4.792835052,5.112517149,,,,,,
5.0702,5.1337,-3.0896,-0.705435052,2.179512135,,,,,,
5.8014,1.844,-2.3584,-3.995135052,9.422126506,,,,,,
11.7,8.0043,3.5402,2.165164948,7.665116951,,,,,,
5.5416,1.0179,-2.6182,-4.821235052,12.62295761,,,,,,
7.5402,6.7504,-0.6196,0.911264948,-0.564619762,,,,,,
5.3077,1.8396,-2.8521,-3.999535052,11.40707392,,,,,,
7.4239,4.2885,-0.7359,-1.550635052,1.141112334,,,,,,
7.6031,4.9981,-0.5567,-0.841035052,0.468204213,,,,,,
6.3328,1.4233,-1.827,-4.415835052,8.067730639,,,,,,
6.3589,-1.4211,-1.8009,-7.260235052,13.0749573,,,,,,
6.2742,2.4756,-1.8856,-3.363535052,6.342281693,,,,,,
5.6397,4.6042,-2.5201,-1.234935052,3.112159823,,,,,,
9.3102,3.9624,1.1504,-1.876735052,-2.158996003,,,,,,
9.4536,5.4141,1.2938,-0.425035052,-0.54991035,,,,,,
8.8254,5.1694,0.6656,-0.669735052,-0.44577565,,,,,,
5.1793,-0.74279,-2.9805,-6.581925052,19.61742762,,,,,,
21.279,17.929,13.1192,12.08986495,158.6093562,,,,,,
14.908,12.054,6.7482,6.214864948,41.93915165,,,,,,
18.959,17.054,10.7992,11.21486495,121.1115696,,,,,,
7.2182,4.8852,-0.9416,-0.953935052,0.898225245,,,,,,
8.2951,5.7442,0.1353,-0.094935052,-0.012844712,,,,,,
10.236,7.7754,2.0762,1.936264948,4.020073286,,,,,,
5.4994,1.0173,-2.6604,-4.821835052,12.82800997,,,,,,
20.341,20.992,12.1812,15.15286495,184.5800785,,,,,,
10.136,6.6799,1.9762,0.840764948,1.661519691,,,,,,
7.3345,4.0259,-0.8253,-1.813235052,1.496462888,,,,,,
6.0062,1.2784,-2.1536,-4.560735052,9.821999007,,,,,,
7.2259,3.3411,-0.9339,-2.498035052,2.332914935,,,,,,
5.0269,-2.6807,-3.1329,-8.519835052,26.69179123,,,,,,
6.5479,0.29678,-1.6119,-5.542355052,8.933722108,,,,,,
7.5386,3.8845,-0.6212,-1.954635052,1.214219294,,,,,,
5.0365,5.7014,-3.1233,-0.137735052,0.430187886,,,,,,
10.274,6.7526,2.1142,0.913464948,1.931247594,,,,,,
5.1077,2.0576,-3.0521,-3.781535052,11.54162313,,,,,,
5.7292,0.47953,-2.4306,-5.359605052,13.02705604,,,,,,
5.1884,0.20421,-2.9714,-5.634925052,16.7436163,,,,,,
6.3557,0.67861,-1.8041,-5.160525052,9.310103245,,,,,,
9.7687,7.5435,1.6089,1.704364948,2.742152766,,,,,,
6.5159,5.3436,-1.6439,-0.495535052,0.814610071,,,,,,
8.5172,4.2415,0.3574,-1.597635052,-0.570994767,,,,,,
9.1802,6.7981,1.0204,0.958964948,0.978527833,,,,,,
6.002,0.92695,-2.1578,-4.912185052,10.5995129,,,,,,
5.5204,0.152,-2.6394,-5.687135052,15.01062426,,,,,,
5.0594,2.8214,-3.1004,-3.017735052,9.356185754,,,,,,
5.7077,1.8451,-2.4521,-3.994035052,9.79377335,,,,,,
7.6366,4.2959,-0.5232,-1.543235052,0.807420579,,,,,,
5.8707,7.2029,-2.2891,1.363764948,-3.121794344,,,,,,
5.3054,1.9869,-2.8544,-3.852235052,10.99581973,,,,,,
8.2934,0.14454,0.1336,-5.694595052,-0.760797899,,,,,,
13.394,9.0551,5.2342,3.215964948,16.83300373,,,,,,
5.4369,0.61705,-2.7229,-5.222085052,14.21921539,,,,,,
